item,category,co2_per_unit,unit
EcoLife Shirt,Clothing,2.58,piece
BrandC Onion,Vegetables,0.59,piece
NaturePlus Muffin,Bakery,3.43,piece
BrandB Jacket,Clothing,15.88,piece
BrandC Toothpaste,Personal Care,0.91,piece
EcoLife Toothpaste,Personal Care,0.21,piece
NaturePlus Cream,Dairy,3.77,liter
EcoLife Cheese,Dairy,9.3,liter
BrandC Grapes,Fruits,1.36,piece
BrandA Jacket,Clothing,17.36,piece
GoodFarm Cream,Dairy,2.08,liter
EcoLife Banana,Fruits,0.83,piece
BrandB Shirt,Clothing,6.08,piece
NaturePlus Mango,Fruits,0.88,piece
BrandC Toothpaste,Personal Care,3.99,piece
EcoLife Oats,Food,4.62,pack
GoodFarm Apple,Fruits,1.71,kg
BrandC Deodorant,Personal Care,4.71,piece
GoodFarm Shampoo,Personal Care,0.94,piece
GoodFarm Apple,Fruits,0.56,kg
NaturePlus Lotion,Personal Care,1.77,piece
EcoLife Jeans,Clothing,5.77,piece
BrandC Croissant,Bakery,1.11,piece
BrandC Banana,Fruits,0.55,piece
EcoLife Deodorant,Personal Care,2.79,piece
EcoLife TV,Electronics,134.46,piece
EcoLife Coffee,Beverages,0.77,liter
BrandB Toothpaste,Personal Care,2.01,piece
NaturePlus Toothpaste,Personal Care,3.19,piece
GoodFarm Shirt,Clothing,5.17,piece
BrandB Lamb,Meat,19.23,kg
EcoLife Milk,Dairy,4.02,kg
NaturePlus Muffin,Bakery,3.98,piece
NaturePlus Carrot,Vegetables,0.55,piece
NaturePlus Deodorant,Personal Care,2.87,piece
NaturePlus Coke,Beverages,1.66,bottle
EcoLife Butter,Dairy,2.17,liter
BrandB Chicken,Meat,9.1,kg
BrandB Tablet,Electronics,21.15,piece
BrandC Beans,Food,3.4,kg
EcoLife Pork,Meat,28.65,kg
NaturePlus Shirt,Clothing,17.77,piece
BrandC Chicken,Meat,8.61,kg
BrandC Juice,Beverages,1.31,liter
BrandC T-shirt,Clothing,12.55,piece
BrandA Rice,Food,2.8,piece
NaturePlus Oats,Food,0.17,piece
EcoLife Turkey,Meat,27.6,kg
GoodFarm T-shirt,Clothing,6.76,piece
EcoLife Spinach,Vegetables,1.38,kg
GoodFarm Rice,Food,4.54,kg
NaturePlus Butter,Dairy,4.34,kg
EcoLife Lotion,Personal Care,3.58,piece
EcoLife Croissant,Bakery,2.35,kg
BrandB Potato,Vegetables,1.23,piece
BrandB Mango,Fruits,0.34,kg
BrandA Beef,Meat,26.27,kg
BrandC Apple,Fruits,1.34,piece
GoodFarm Oats,Food,2.96,pack
BrandC Coffee,Beverages,2.29,liter
NaturePlus T-shirt,Clothing,12.4,piece
BrandC Water,Beverages,0.85,liter
EcoLife Potato,Vegetables,0.87,kg
BrandB Laptop,Electronics,181.02,piece
BrandC Sweater,Clothing,16.44,piece
BrandC Croissant,Bakery,1.4,kg
BrandC Coke,Beverages,0.64,bottle
BrandC Deodorant,Personal Care,0.17,piece
BrandA Cake,Bakery,3.23,piece
BrandA Beef,Meat,25.56,kg
GoodFarm Sweater,Clothing,7.6,piece
BrandA Bread,Bakery,0.67,piece
BrandB Toothpaste,Personal Care,4.57,piece
BrandB Bagel,Bakery,2.28,kg
EcoLife Deodorant,Personal Care,1.58,piece
EcoLife Deodorant,Personal Care,1.18,piece
NaturePlus Banana,Fruits,0.19,piece
BrandB Lotion,Personal Care,1.59,piece
EcoLife Cake,Bakery,2.89,piece
GoodFarm Chicken,Meat,9.84,kg
EcoLife Bagel,Bakery,0.49,piece
