item,category,co2_per_unit,unit
DailyCare Dish Soap,Cleaning,12.59,kg
GoodFarm Chair,Household,44.19,piece
HomeEssentials Lamp,Household,44.12,piece
GreenChoice Beef,Meat,17.81,kg
GoodFarm Cat Food,Pet Supplies,3.69,kg
GreenChoice Floor Cleaner,Cleaning,4.03,kg
HomeEssentials Train Ticket,Transport,2.05,km
GoodFarm Apple,Fruits,0.86,kg
EcoLife Shampoo,Personal Care,2.06,piece
BrandC Laptop,Electronics,115.84,piece
NaturePlus Bleach,Cleaning,2.11,liter
DailyCare Rice,Food,1.2,kg
BrandC Mattress,Household,14.88,piece
DailyCare Headphones,Electronics,139.66,piece
BrandB Tea,Beverages,0.86,bottle
BrandB Bread,Bakery,2.4,kg
NaturePlus Laptop,Electronics,50.33,piece
EcoLife Jeans,Clothing,8.98,piece
GreenChoice Pet Toy,Pet Supplies,3.98,kg
GoodFarm TV,Electronics,41.99,piece
NaturePlus Orange,Fruits,1.07,piece
HomeEssentials Bus Ticket,Transport,4.88,km
HomeEssentials T-shirt,Clothing,3.22,piece
BrandB Floor Cleaner,Cleaning,5.92,liter
EcoLife Croissant,Bakery,0.39,piece
NaturePlus Onion,Vegetables,0.63,piece
EcoLife Pet Shampoo,Pet Supplies,9.61,kg
BrandC Bagel,Bakery,4.83,kg
DailyCare Pet Shampoo,Pet Supplies,3.96,piece
HomeEssentials Pet Toy,Pet Supplies,4.95,piece
GreenChoice Carrot,Vegetables,0.82,kg
DailyCare Spinach,Vegetables,0.71,piece
BrandB Bleach,Cleaning,3.94,liter
EcoLife Petrol,Transport,2.46,km
HomeEssentials Lamp,Household,40.52,piece
GoodFarm Shirt,Clothing,4.57,piece
DailyCare Cream,Dairy,2.33,kg
GreenChoice Dish Soap,Cleaning,5.01,piece
NaturePlus Deodorant,Personal Care,2.89,piece
EcoLife Diesel,Transport,2.89,liter
NaturePlus Butter,Dairy,0.71,liter
BrandB Croissant,Bakery,4.4,kg
BrandC Deodorant,Personal Care,1.83,piece
GreenChoice Turkey,Meat,21.88,kg
BrandA Beef,Meat,11.76,kg
BrandA Muffin,Bakery,2.07,piece
NaturePlus Banana,Fruits,0.3,piece
BrandA Notebook,Stationery,1.64,piece
GoodFarm Bicycle,Transport,3.72,km
BrandA Marker,Stationery,0.33,piece
EcoLife Grapes,Fruits,1.25,kg
BrandB Deodorant,Personal Care,4.13,piece
HomeEssentials Orange,Fruits,0.43,kg
BrandB Bread,Bakery,2.67,piece
NaturePlus Shampoo,Personal Care,0.15,piece
HomeEssentials Pen,Stationery,4.4,piece
NaturePlus Petrol,Transport,4.39,liter
EcoLife Toothpaste,Personal Care,0.88,piece
BrandB Mango,Fruits,0.27,piece
BrandA Soap,Personal Care,1.52,piece
EcoLife Coke,Beverages,0.82,bottle
GreenChoice Lentils,Food,1.13,pack
HomeEssentials Shampoo,Personal Care,4.59,piece
GoodFarm Muffin,Bakery,2.32,kg
HomeEssentials Cat Food,Pet Supplies,4.44,piece
GoodFarm Turkey,Meat,7.96,kg
HomeEssentials Detergent,Cleaning,6.09,kg
EcoLife Muffin,Bakery,4.14,piece
GoodFarm Mango,Fruits,0.55,piece
BrandC Pet Shampoo,Pet Supplies,7.53,piece
BrandC Rice,Food,1.63,pack
BrandA Shirt,Clothing,9.12,piece
GoodFarm Pork,Meat,24.9,kg
HomeEssentials Orange,Fruits,1.76,piece
GreenChoice Glass Cleaner,Cleaning,13.03,piece
GreenChoice Bus Ticket,Transport,0.48,liter
HomeEssentials Milk,Dairy,6.04,kg
HomeEssentials Marker,Stationery,1.4,piece
EcoLife Banana,Fruits,1.73,kg
